,type,rank,player,count,team,position,image
0,전체,1,류현진,810,한화,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F12630b6e-87bd-41ad-92d6-66c36f83bf7f.png
1,전체,2,김범석,538,LG,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F09c3e5dd-b004-4847-9968-ed916e16d4aa.png
2,전체,3,이주형,478,키움,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F15990902-f9fd-4d02-8934-fb639d6c923a.png
3,전체,4,강백호,441,kt,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F886dcebc-1460-4259-8842-d6c52cbfa0a2.png
4,전체,5,김영웅,425,삼성,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Ffa635361-98eb-4575-8259-2ee72661f123.png
5,전체,6,원태인,370,삼성,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F2e43a89e-21c6-45db-a905-13a35cc3b5ac.png
6,전체,7,김도영,342,KIA,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fa0a6421c-4d82-4630-a0cd-c443b1558c7e.png
7,전체,8,최정,342,SSG,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Ffa5813b2-61ca-4e8f-b97c-5ff58ff48b4a.png
8,전체,9,곽빈,339,두산,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fef1ed875-3388-44ea-8a8a-2d408a66f458.png
9,전체,10,양의지,319,두산,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F79%2F202304041538383501.png
10,LG,1,김범석,498,LG,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F09c3e5dd-b004-4847-9968-ed916e16d4aa.png
11,LG,2,박동원,223,LG,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Faf516ae8-99cd-4ed2-b4c5-15fb5b4474e5.png
12,LG,3,엔스,200,-,-,-
13,LG,4,오지환,191,LG,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F7fab966c-130c-4b7e-9666-3b0c10189919.png
14,LG,5,김광현,155,SSG,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F75c48e74-60ac-43a5-bf49-0e8905c53520.png
15,LG,6,오스틴,152,-,-,-
16,LG,7,유영찬,139,LG,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F8e7be1db-d3ad-4e1b-a2c5-7ef46a350c8f.png
17,LG,8,김유영,123,LG,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F1fbfb5c2-ccd0-4862-9635-6fe16463373a.png
18,LG,9,김현수,111,LG,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fcd24b507-8b76-44b1-9463-346b3feee93a.png
19,LG,10,손주영,110,LG,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F3665dd38-13e6-48bf-b574-ac0028aac1c7.png
