순위,선수,팀,OPS,IsoP,BABIP,wOBA,wRC+,WPA,WAR
1,최정,SSG,1.003,0.357,0.267,0.424,148.0,0.72,1.40
2,에레디아,SSG,0.993,0.168,0.423,0.438,156.4,1.36,1.94
3,페라자,한화,0.989,0.284,0.358,0.435,154.1,1.03,1.69
4,강백호,KT,0.979,0.257,0.372,0.432,157.0,1.17,1.94
5,도슨,키움,0.976,0.213,0.388,0.425,156.0,0.80,1.76
6,오스틴,LG,0.970,0.254,0.348,0.414,152.2,-0.18,1.88
7,강승호,두산,0.962,0.263,0.450,0.402,148.9,0.39,1.65
8,박건우,NC,0.953,0.157,0.433,0.415,140.9,0.93,1.39
9,김도영,KIA,0.952,0.249,0.363,0.414,146.2,0.14,1.69
10,로하스,KT,0.946,0.263,0.318,0.403,133.5,0.61,1.47
11,맥키넌,삼성,0.935,0.116,0.392,0.419,136.2,0.27,1.27
12,김영웅,삼성,0.920,0.241,0.394,0.398,127.4,0.22,1.47
13,허경민,두산,0.905,0.102,0.374,0.413,153.8,0.90,1.74
13,구자욱,삼성,0.905,0.215,0.325,0.403,129.0,0.85,1.33
15,레이예스,롯데,0.899,0.154,0.386,0.413,142.1,1.08,1.36
16,양의지,두산,0.898,0.167,0.355,0.395,142.2,0.85,1.43
17,데이비슨,NC,0.891,0.265,0.320,0.394,130.8,0.12,0.78
18,이우성,KIA,0.888,0.154,0.386,0.403,140.5,-0.09,1.40
19,최형우,KIA,0.887,0.229,0.310,0.394,131.9,0.59,1.16
20,전준우,롯데,0.872,0.198,0.333,0.387,124.7,-0.72,1.26
