순위,선수,팀,평균자책,경기수,이닝,승,패,세이브,홀드,탈삼진,피안타,피홈런,실점,볼넷,사구,승률
1,네일,KIA,1.47,8,49,4,1,0,0,51,48,2,17,5,4,0.800
2,원태인,삼성,1.55,8,46 1/3,5,1,0,0,38,32,3,9,13,2,0.833
3,양현종,KIA,2.66,8,50 2/3,3,1,0,0,37,42,4,16,12,2,0.750
4,산체스,한화,2.68,8,43 2/3,2,0,0,0,52,42,2,15,13,8,1.000
5,하트,NC,2.98,8,48 1/3,4,1,0,0,50,42,2,19,13,2,0.800
6,쿠에바스,KT,3.09,9,55 1/3,2,3,0,0,58,44,6,20,14,0,0.400
7,헤이수스,키움,3.13,8,46,5,3,0,0,45,40,3,17,9,4,0.625
8,신민혁,NC,3.40,8,42 1/3,2,3,0,0,30,54,6,19,3,1,0.400
9,크로우,KIA,3.57,8,40 1/3,5,1,0,0,43,41,2,19,12,1,0.833
10,카스타노,NC,3.65,8,49 1/3,3,2,0,0,40,46,6,28,8,4,0.600
11,최원태,LG,3.74,8,43 1/3,4,2,0,0,43,35,2,19,22,1,0.667
12,곽빈,두산,3.81,9,52,3,4,0,0,51,46,1,23,19,2,0.429
13,레예스,삼성,3.86,9,49,5,2,0,0,45,54,4,21,7,3,0.714
14,후라도,키움,4.00,9,54,3,4,0,0,41,58,7,24,12,1,0.429
15,반즈,롯데,4.13,8,48,2,2,0,0,63,46,7,22,13,3,0.500
16,윌커슨,롯데,4.53,9,51 2/3,2,4,0,0,43,57,8,27,6,1,0.333
17,박세웅,롯데,4.53,8,43 2/3,3,3,0,0,31,52,3,28,14,2,0.500
18,엔스,LG,4.66,9,48 1/3,4,1,0,0,48,55,4,29,13,1,0.800
19,코너,삼성,4.76,9,45 1/3,2,3,0,0,45,48,8,27,16,8,0.400
20,김광현,SSG,5.13,9,47 1/3,3,3,0,0,52,44,8,27,15,1,0.500
