순위,선수,팀,WHIP,K/9,BB/9,K/BB,K%,BB%,WPA,WAR
1,원태인,삼성,0.97,7.38,2.53,2.92,20.7,7.1,1.96,1.95
2,쿠에바스,KT,1.05,9.43,2.28,4.14,25.8,6.2,1.21,1.75
3,벤자민,KT,1.06,9.35,2.70,3.46,25.7,7.4,0.66,0.40
4,헤이수스,키움,1.07,8.80,1.76,5.00,23.9,4.8,1.02,1.48
5,양현종,KIA,1.07,6.57,2.13,3.08,18.0,5.8,1.42,1.61
6,네일,KIA,1.08,9.37,0.92,10.20,25.1,2.5,1.23,1.85
7,카스타노,NC,1.09,7.30,1.46,5.00,19.2,3.8,0.66,0.75
8,하트,NC,1.14,9.31,2.42,3.85,25.3,6.6,0.92,1.57
9,윌커슨,롯데,1.22,7.49,1.05,7.17,20.0,2.8,0.03,0.96
10,반즈,롯데,1.23,11.81,2.44,4.85,31.5,6.5,0.45,1.19
11,레예스,삼성,1.24,8.27,1.29,6.43,21.6,3.4,0.94,1.40
12,김광현,SSG,1.25,9.89,2.85,3.47,26.3,7.6,0.38,0.62
13,곽빈,두산,1.25,8.83,3.29,2.68,23.3,8.7,0.80,1.41
14,산체스,한화,1.26,10.72,2.68,4.00,27.7,6.9,1.44,1.50
15,후라도,키움,1.30,6.83,2.00,3.42,17.7,5.2,0.78,1.16
16,크로우,KIA,1.31,9.60,2.68,3.58,25.0,7.0,0.59,1.09
17,최원태,LG,1.32,8.93,4.57,1.95,23.1,11.8,1.07,1.04
18,신민혁,NC,1.35,6.38,0.64,10.00,16.4,1.6,0.10,0.93
19,엔스,LG,1.41,8.94,2.42,3.69,22.5,6.1,0.01,0.76
20,코너,삼성,1.41,8.93,3.18,2.81,21.8,7.8,0.15,0.45
