종목명,날짜,종가,전일비상태,전일비,시가,고가,저가,거래량,월
기아,2024.05.14,"113,200",하락,"1,100","114,500","115,200","112,900","386,611",5
기아,2024.05.13,"114,300",상승,200,"113,900","115,700","113,300","935,835",5
기아,2024.05.10,"114,100",상승,"2,400","113,500","114,500","112,000","1,422,408",5
기아,2024.05.09,"111,700",하락,"4,300","116,400","116,400","111,200","1,762,344",5
기아,2024.05.08,"116,000",상승,300,"114,700","117,200","114,700","792,482",5
기아,2024.05.07,"115,700",상승,"1,800","114,000","116,600","114,000","1,204,913",5
기아,2024.05.03,"113,900",하락,"5,700","120,300","120,800","113,600","1,779,155",5
기아,2024.05.02,"119,600",상승,"1,600","118,300","119,600","117,500","1,246,995",5
기아,2024.04.30,"118,000",하락,300,"118,100","119,500","117,200","1,264,927",4
기아,2024.04.29,"118,300",상승,100,"119,500","121,300","117,600","1,820,652",4
기아,2024.04.26,"118,200",상승,"1,600","116,600","121,500","114,500","2,705,868",4
기아,2024.04.25,"116,600",상승,400,"114,800","118,000","114,200","1,708,852",4
기아,2024.04.24,"116,200",상승,300,"114,800","116,800","114,200","1,178,637",4
기아,2024.04.23,"115,900",상승,800,"116,000","118,300","114,500","1,392,773",4
기아,2024.04.22,"115,100",상승,"4,700","111,600","115,500","111,600","1,916,502",4
기아,2024.04.19,"110,400",하락,"1,800","111,000","113,700","107,800","2,114,673",4
기아,2024.04.18,"112,200",하락,900,"114,000","114,600","110,700","1,665,994",4
기아,2024.04.17,"113,100",하락,"1,600","114,800","114,900","111,300","1,576,611",4
기아,2024.04.16,"114,700",상승,100,"113,500","115,200","112,200","1,988,405",4
기아,2024.04.15,"114,600",상승,"4,800","109,200","115,000","107,200","2,446,762",4
기아,2024.04.12,"109,800",하락,"1,900","111,500","111,700","108,000","1,226,958",4
기아,2024.04.11,"111,700",상승,"3,700","104,600","111,800","104,400","2,217,580",4
기아,2024.04.09,"108,000",하락,500,"111,100","112,500","107,800","1,652,638",4
