지역,날짜,요일,오전 강수확률,오전 날씨상태,오후 강수확률,오후 날씨상태,최저기온,최고기온,city
잠실야구장,5.14,화,0%,맑음,0%,맑음,13°,24°,Jamsil
잠실야구장,5.15,수,60%,구름많고 한때 비 곳,70%,흐리고 비,14°,18°,Jamsil
잠실야구장,5.16,목,10%,구름많음,0%,맑음,9°,21°,Jamsil
잠실야구장,5.17,금,10%,맑음,10%,맑음,13°,24°,Jamsil
잠실야구장,5.18,토,10%,맑음,10%,맑음,15°,26°,Jamsil
잠실야구장,5.19,일,10%,맑음,10%,맑음,16°,27°,Jamsil
잠실야구장,5.20,월,20%,구름많음,10%,맑음,17°,28°,Jamsil
잠실야구장,5.21,화,10%,맑음,10%,맑음,17°,28°,Jamsil
잠실야구장,5.22,수,10%,맑음,10%,맑음,17°,27°,Jamsil
잠실야구장,5.23,목,10%,맑음,10%,맑음,17°,27°,Jamsil
고척스카이돔,5.14,화,0%,맑음,0%,맑음,13°,24°,Gocheok
고척스카이돔,5.15,수,60%,구름많고 한때 비 곳,60%,흐리고 비,14°,18°,Gocheok
고척스카이돔,5.16,목,10%,구름많음,0%,맑음,9°,21°,Gocheok
고척스카이돔,5.17,금,10%,맑음,10%,맑음,13°,24°,Gocheok
고척스카이돔,5.18,토,10%,맑음,10%,맑음,15°,26°,Gocheok
고척스카이돔,5.19,일,10%,맑음,10%,맑음,16°,27°,Gocheok
고척스카이돔,5.20,월,20%,구름많음,10%,맑음,17°,28°,Gocheok
고척스카이돔,5.21,화,10%,맑음,10%,맑음,17°,28°,Gocheok
고척스카이돔,5.22,수,10%,맑음,10%,맑음,17°,27°,Gocheok
고척스카이돔,5.23,목,10%,맑음,10%,맑음,17°,27°,Gocheok
수원KT위즈파크,5.14,화,0%,맑음,0%,맑음,11°,25°,Suwon
수원KT위즈파크,5.15,수,10%,구름많음,70%,흐리고 비,11°,19°,Suwon
수원KT위즈파크,5.16,목,10%,구름많음,0%,맑음,8°,20°,Suwon
수원KT위즈파크,5.17,금,10%,맑음,10%,맑음,10°,24°,Suwon
수원KT위즈파크,5.18,토,10%,맑음,10%,맑음,13°,26°,Suwon
수원KT위즈파크,5.19,일,10%,맑음,10%,맑음,14°,27°,Suwon
수원KT위즈파크,5.20,월,20%,구름많음,10%,맑음,15°,27°,Suwon
수원KT위즈파크,5.21,화,10%,맑음,10%,맑음,14°,27°,Suwon
수원KT위즈파크,5.22,수,10%,맑음,10%,맑음,15°,27°,Suwon
수원KT위즈파크,5.23,목,10%,맑음,10%,맑음,15°,26°,Suwon
인천문학경기장,5.14,화,0%,맑음,0%,맑음,13°,22°,Incheon
인천문학경기장,5.15,수,60%,구름많고 한때 비,60%,흐리고 비,14°,16°,Incheon
인천문학경기장,5.16,목,10%,맑음,0%,맑음,9°,18°,Incheon
인천문학경기장,5.17,금,10%,맑음,10%,맑음,13°,21°,Incheon
인천문학경기장,5.18,토,10%,맑음,10%,맑음,14°,23°,Incheon
인천문학경기장,5.19,일,10%,맑음,10%,맑음,15°,24°,Incheon
인천문학경기장,5.20,월,20%,구름많음,10%,맑음,15°,24°,Incheon
인천문학경기장,5.21,화,10%,맑음,10%,맑음,15°,24°,Incheon
인천문학경기장,5.22,수,10%,맑음,10%,맑음,15°,23°,Incheon
인천문학경기장,5.23,목,10%,맑음,10%,맑음,16°,22°,Incheon
대구삼성라이온즈파크,5.14,화,0%,맑음,0%,맑음,12°,28°,Daegu
대구삼성라이온즈파크,5.15,수,0%,맑음,70%,구름많고 가끔 비,14°,27°,Daegu
대구삼성라이온즈파크,5.16,목,70%,구름많고 가끔 비,0%,맑음,9°,23°,Daegu
대구삼성라이온즈파크,5.17,금,10%,맑음,10%,맑음,11°,27°,Daegu
대구삼성라이온즈파크,5.18,토,10%,맑음,10%,맑음,13°,29°,Daegu
대구삼성라이온즈파크,5.19,일,10%,맑음,10%,맑음,16°,28°,Daegu
대구삼성라이온즈파크,5.20,월,20%,맑음,10%,맑음,16°,29°,Daegu
대구삼성라이온즈파크,5.21,화,10%,맑음,10%,맑음,16°,29°,Daegu
대구삼성라이온즈파크,5.22,수,10%,맑음,10%,맑음,17°,30°,Daegu
대구삼성라이온즈파크,5.23,목,10%,맑음,10%,맑음,18°,29°,Daegu
한화생명이글스파크,5.14,화,0%,맑음,0%,맑음,11°,26°,Daejeon
한화생명이글스파크,5.15,수,0%,맑음,60%,흐리고 비,11°,22°,Daejeon
한화생명이글스파크,5.16,목,20%,구름많음,0%,맑음,8°,22°,Daejeon
한화생명이글스파크,5.17,금,10%,맑음,10%,맑음,12°,25°,Daejeon
한화생명이글스파크,5.18,토,10%,맑음,10%,맑음,13°,27°,Daejeon
한화생명이글스파크,5.19,일,10%,맑음,10%,맑음,14°,27°,Daejeon
한화생명이글스파크,5.20,월,10%,맑음,10%,맑음,15°,28°,Daejeon
한화생명이글스파크,5.21,화,10%,맑음,10%,맑음,15°,28°,Daejeon
한화생명이글스파크,5.22,수,10%,맑음,10%,맑음,15°,28°,Daejeon
한화생명이글스파크,5.23,목,10%,맑음,10%,맑음,16°,28°,Daejeon
부산사직종합운동장사직야구장,5.14,화,0%,맑음,0%,맑음,14°,24°,Busan
부산사직종합운동장사직야구장,5.15,수,0%,맑음,60%,구름많고 가끔 비,15°,24°,Busan
부산사직종합운동장사직야구장,5.16,목,60%,구름많고 한때 비,0%,맑음,11°,23°,Busan
부산사직종합운동장사직야구장,5.17,금,10%,맑음,10%,맑음,14°,24°,Busan
부산사직종합운동장사직야구장,5.18,토,10%,맑음,10%,맑음,16°,24°,Busan
부산사직종합운동장사직야구장,5.19,일,10%,맑음,20%,맑음,17°,23°,Busan
부산사직종합운동장사직야구장,5.20,월,20%,구름많음,20%,구름많음,17°,25°,Busan
부산사직종합운동장사직야구장,5.21,화,10%,맑음,10%,맑음,18°,24°,Busan
부산사직종합운동장사직야구장,5.22,수,10%,맑음,10%,맑음,17°,24°,Busan
부산사직종합운동장사직야구장,5.23,목,20%,구름많음,20%,구름많음,18°,24°,Busan
창원NC파크,5.14,화,0%,맑음,0%,맑음,13°,25°,Changwon
창원NC파크,5.15,수,0%,맑음,60%,구름많고 가끔 비,14°,25°,Changwon
창원NC파크,5.16,목,60%,구름많고 한때 비 곳,0%,맑음,10°,23°,Changwon
창원NC파크,5.17,금,10%,맑음,10%,맑음,12°,25°,Changwon
창원NC파크,5.18,토,10%,맑음,10%,맑음,14°,25°,Changwon
창원NC파크,5.19,일,10%,맑음,20%,맑음,15°,26°,Changwon
창원NC파크,5.20,월,20%,구름많음,20%,구름많음,16°,27°,Changwon
창원NC파크,5.21,화,10%,맑음,10%,맑음,16°,27°,Changwon
창원NC파크,5.22,수,10%,맑음,10%,맑음,17°,27°,Changwon
창원NC파크,5.23,목,20%,구름많음,20%,구름많음,17°,26°,Changwon
광주기아챔피언스필드,5.14,화,0%,맑음,0%,맑음,12°,26°,Gwangju
광주기아챔피언스필드,5.15,수,0%,맑음,60%,흐리고 비,12°,22°,Gwangju
광주기아챔피언스필드,5.16,목,0%,맑음,0%,맑음,9°,22°,Gwangju
광주기아챔피언스필드,5.17,금,10%,맑음,10%,맑음,12°,25°,Gwangju
광주기아챔피언스필드,5.18,토,10%,맑음,10%,맑음,14°,28°,Gwangju
광주기아챔피언스필드,5.19,일,10%,맑음,10%,맑음,15°,28°,Gwangju
광주기아챔피언스필드,5.20,월,10%,맑음,10%,맑음,16°,29°,Gwangju
광주기아챔피언스필드,5.21,화,10%,맑음,10%,맑음,16°,29°,Gwangju
광주기아챔피언스필드,5.22,수,10%,맑음,10%,맑음,16°,28°,Gwangju
광주기아챔피언스필드,5.23,목,10%,맑음,10%,맑음,17°,27°,Gwangju
